frame,ms
1357,5
1358,5
1359,5
1360,5
1361,9
1362,5
1363,5
1364,5
1365,7
1366,7
1367,6
1368,4
1369,5
1370,25
1371,9
1372,7
1373,5
1374,5
1375,5
1376,8
1377,7
1378,6
1379,5
1380,8
1381,6
1382,8
1383,7
1384,6
1385,6
1386,6
1387,6
1388,5
1389,7
1390,5
1391,6
1392,7
1393,5
1394,5
1395,6
1396,4
1397,6
1398,4
1399,4
1400,6
1401,7
1402,9
1403,7
1404,6
1405,7
1406,7
1407,6
1408,9
1409,5
1410,5
1411,4
1412,4
1413,5
1414,4
1415,4
1416,4
1417,4
1418,6
1419,4
1420,4
1421,4
1422,4
1423,6
1424,7
1425,7
1426,6
1427,5
1428,5
1429,5
1430,5
1431,5
1432,5
1433,4
1434,6
1435,4
1436,4
1437,3
1438,4
1439,7
1440,19
1441,5
1442,6
1443,6
1444,8
1445,4
1446,4
1447,5
1448,4
1449,8
1450,4
1451,4
1452,4
1453,4
1454,4
1455,5
1456,4
1457,4
1458,7
1459,4
1460,6
1461,4
1462,4
1463,5
1464,4
1465,6
1466,4
1467,4
1468,4
1469,4
1470,17
1471,6
1472,6
1473,6
1474,8
1475,11
1476,5
1477,5
1478,5
1479,5
1480,5
1481,7
1482,5
1483,4
1484,7
1485,6
1486,7
1487,6
1488,5
1489,5
1490,18
1491,7
1492,5
1493,5
1494,5
1495,5
1496,10
1497,7
1498,4
1499,5
1500,5
1501,7
1502,5
1503,5
1504,8
1505,6
1506,4
1507,7
1508,6
1509,7
1510,20
1511,3
1512,4
1513,3
1514,4
1515,4
1516,4
1517,6
1518,6
1519,3
1520,6
1521,4
1522,4
1523,4
1524,4
1525,6
1526,4
1527,5
1528,5
1529,5
1530,16
1531,3
1532,4
1533,4
1534,4
1535,5
1536,5
1537,6
1538,4
1539,4
1540,7
1541,5
1542,7
1543,5
1544,5
1545,5
1546,4
1547,6
1548,7
1549,5
1550,18
1551,4
1552,5
1553,5
1554,5
1555,4
1556,10
1557,4
1558,5
1559,4
1560,5
1561,6
1562,4
1563,5
1564,5
1565,5
1566,6
1567,4
1568,4
1569,4
1570,17
1571,6
1572,5
1573,4
1574,4
1575,4
1576,6
1577,5
1578,6
1579,5
1580,5
1581,4
1582,6
1583,4
1584,5
1585,4
1586,5
1587,7
1588,4
1589,5
1590,6
1591,4
1592,6
1593,4
1594,4
1595,6
1596,5
1597,7
1598,6
1599,5
1600,5
1601,4
1602,5
1603,4
1604,4
1605,4
1606,4
1607,3
1608,6
1609,4
1610,6
1611,4
1612,5
1613,5
1614,4
1615,4
1616,3
1617,4
1618,5
1619,4
1620,5
1621,5
1622,5
1623,6
1624,6
1625,5
1626,4
1627,5
1628,9
1629,4
1630,5
1631,6
1632,5
1633,4
1634,6
1635,4
1636,4
1637,5
1638,4
1639,6
1640,14
1641,4
1642,5
1643,5
1644,5
1645,4
1646,4
1647,5
1648,4
1649,5
1650,4
1651,4
1652,4
1653,4
1654,4
1655,5
1656,4
1657,3
1658,6
1659,5
1660,6
1661,5
1662,4
1663,6
1664,5
1665,6
1666,5
1667,4
1668,4
1669,4
1670,20
1671,5
1672,5
1673,5
1674,5
1675,8
1676,7
1677,8
1678,5
1679,5
1680,7
1681,9
1682,7
1683,4
1684,5
1685,5
1686,7
1687,5
1688,5
1689,5
1690,19
1691,8
1692,5
1693,5
1694,5
1695,7
1696,8
1697,5
1698,5
1699,5
1700,5
1701,8
1702,6
1703,5
1704,5
1705,5
1706,5
1707,7
1708,6
1709,5
1710,17
1711,4
1712,3
1713,4
1714,4
1715,6
1716,4
1717,4
1718,4
1719,6
1720,5
1721,7
1722,7
1723,7
1724,6
1725,6
1726,5
1727,4
1728,5
1729,5
1730,19
1731,4
1732,4
1733,3
1734,4
1735,5
1736,4
1737,3
1738,4
1739,3
1740,6
1741,5
1742,7
1743,7
1744,6
1745,5
1746,5
1747,4
1748,7
1749,7
1750,18
1751,5
1752,7
1753,6
1754,6
1755,6
1756,6
1757,4
1758,6
1759,5
1760,6
1761,6
1762,4
1763,5
1764,4
1765,4
1766,6
1767,6
1768,5
1769,4
1770,16
1771,6
1772,4
1773,4
1774,4
1775,5
1776,9
1777,5
1778,5
1779,4
1780,5
1781,5
1782,8
1783,4
1784,4
1785,5
1786,4
1787,6
1788,5
1789,5
1790,5
1791,4
1792,6
1793,4
1794,4
1795,4
1796,4
1797,7
1798,4
1799,4
1800,5
1801,6
1802,8
1803,7
1804,4
1805,4
1806,4
1807,5
1808,10
1809,4
1810,4
1811,4
1812,5
1813,5
1814,4
1815,4
1816,4
1817,4
1818,6
1819,4
1820,5
1821,4
1822,4
1823,6
1824,5
1825,5
1826,4
1827,5
1828,6
1829,5
1830,4
1831,5
1832,4
1833,5
1834,6
1835,6
1836,5
1837,5
1838,4
1839,6
1840,13
1841,7
1842,4
1843,5
1844,6
1845,4
1846,4
1847,5
1848,5
1849,6
1850,4
1851,4
1852,4
1853,4
1854,5
1855,5
1856,4
1857,7
1858,4
1859,4
1860,6
1861,6
1862,5
1863,5
1864,4
1865,6
1866,4
1867,6
1868,4
1869,4
1870,16
1871,5
1872,6
1873,6
1874,8
1875,8
1876,4
1877,5
1878,5
1879,8
1880,5
1881,7
1882,6
1883,7
1884,5
1885,6
1886,8
1887,7
1888,7
1889,7
1890,16
1891,7
1892,5
1893,5
1894,6
1895,5
1896,6
1897,6
1898,5
1899,5
1900,5
1901,7
1902,5
1903,5
1904,5
1905,5
1906,7
1907,8
1908,6
1909,8
1910,14
1911,3
1912,5
1913,7
1914,4
1915,5
1916,4
1917,3
1918,3
1919,4
1920,6
1921,4
1922,4
1923,5
1924,4
1925,7
1926,4
1927,4
1928,5
1929,5
1930,16
1931,4
1932,3
1933,4
1934,4
1935,6
1936,6
1937,4
1938,3
1939,4
1940,5
1941,7
1942,7
1943,5
1944,4
1945,7
1946,8
1947,4
1948,5
1949,4
1950,26
1951,7
1952,4
1953,5
1954,5
1955,4
1956,6
1957,5
1958,4
1959,5
1960,5
1961,5
1962,4
1963,4
1964,4
1965,5
1966,5
1967,4
1968,5
1969,6
1970,17
1971,6
1972,4
1973,5
1974,4
1975,5
1976,5
1977,5
1978,5
1979,5
1980,6
1981,4
1982,6
1983,5
1984,5
1985,4
1986,5
1987,8
1988,7
1989,5
1990,5
1991,5
1992,6
1993,5
1994,5
1995,6
1996,5
1997,7
1998,5
1999,5
2000,4
2001,4
2002,7
2003,5
2004,4
2005,4
2006,3
2007,5
2008,5
2009,6
2010,6
2011,5
2012,7
2013,7
2014,4
2015,4
2016,4
2017,4
2018,6
2019,5
2020,4
2021,5
2022,4
2023,5
2024,5
2025,5
2026,5
2027,4
2028,7
2029,5
2030,4
2031,6
2032,5
2033,5
2034,6
2035,4
2036,4
2037,5
2038,5
2039,6
2040,14
2041,5
2042,4
2043,5
2044,6
2045,4
2046,4
2047,3
2048,5
2049,6
2050,4
2051,5
2052,4
2053,5
2054,4
2055,6
2056,4
2057,4
2058,4
2059,4
2060,7
2061,5
2062,6
2063,6
2064,5
2065,6
2066,4
2067,4
2068,4
2069,5
2070,21
2071,5
2072,6
2073,5
2074,5
2075,7
2076,5
2077,5
2078,5
2079,5
2080,5
2081,7
2082,5
2083,4
2084,5
2085,5
2086,8
2087,5
2088,5
2089,6
2090,21
2091,8
2092,5
2093,5
2094,6
2095,5
2096,7
2097,5
2098,6
2099,5
2100,6
2101,7
2102,5
2103,5
2104,5
2105,5
2106,5
2107,7
2108,6
2109,6
2110,22
2111,3
2112,4
2113,4
2114,3
2115,8
2116,4
2117,6
2118,5
2119,5
2120,6
2121,4
2122,5
2123,6
2124,4
2125,6
2126,5
2127,5
2128,4
2129,6
2130,18
2131,4
2132,4
2133,6
2134,4
2135,5
2136,4
2137,4
2138,4
2139,4
2140,5
2141,5
2142,7
2143,4
2144,4
2145,6
2146,5
2147,6
2148,6
2149,7
2150,20
2151,5
2152,5
2153,8
2154,6
2155,5
2156,6
2157,5
2158,6
2159,5
2160,6
2161,6
2162,4
2163,5
2164,4
2165,5
2166,6
2167,6
2168,5
2169,5
2170,15
2171,7
2172,4
2173,6
2174,5
2175,7
2176,7
2177,4
2178,4
2179,4
2180,6
2181,5
2182,7
2183,5
2184,5
2185,5
2186,6
2187,7
2188,5
2189,5
2190,6
2191,7
2192,7
2193,4
2194,5
2195,6
2196,6
2197,9
2198,6
2199,4
2200,7
2201,4
2202,6
2203,5
2204,5
2205,6
2206,5
2207,3
2208,6
2209,5
2210,7
2211,5
2212,5
2213,7
2214,4
2215,4
2216,4
